DHID,De_m,A_m,RockCode1,Lith1,RockCode2_sw,Lith2_sw
MURALLA-02,29.9,32,En,endoskarn-flooding de pirox-magnet-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,32,34.4,PG,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,34.4,36.75,En,endoskarn-flooding de pirox-magnet-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,36.75,39.8,En,endoskarn-flooding de pirox-magnet-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,39.8,47.8,Ho,horfels-Fm Indidura?,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,47.8,54.3,En,endoskarn-flooding de pirox-magnet-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,54.3,56.5,Ho,horfels-Fm Indidura?,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,56.5,63.75,En,endoskarn-flooding de pirox-magnet-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,63.75,67,En,endoskarn-flooding de pirox-magnet-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,67,67.9,PG,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,67.9,68.8,En,endoskarn-flooding de pirox-magnet-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,68.8,70.6,PG,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,70.6,72,En,endoskarn-flooding de pirox-magnet-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,72,74.75,PG,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,74.75,78,En,endoskarn-flooding de pirox-magnet-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,78,80.1,PG,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,80.1,84.6,En,endoskarn-flooding de pirox-magnet-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,84.6,85.4,PG,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,85.4,86,PG,hornbl-qtz-plag-felds-biot porphyry,vnbxa,matrix-supported hydrothermal breccia and vein zone
MURALLA-02,86,89.7,En,endoskarn-flooding de pirox-magnet-,vnbxa,matrix-supported hydrothermal breccia and vein zone
MURALLA-02,89.7,92.5,Ho,horfels-Fm Indidura?,vnbxa,matrix-supported hydrothermal breccia and vein zone
MURALLA-02,92.5,113.9,Ho,horfels-Fm Indidura?,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
